,ID,Country_Name,CRI_RANK,CRI_SCORE,Fatalities_Rank,Fatalities_per_100000_inhabitants_RANK,Losses_in_US_Million_Rank,Losses_per_unit_GDP_Rank
109,109,Moldova                                                     ,135,125.0,115,115,135,135
110,110,Mongolia                                                    ,17,26.67,64,22,34,9
111,111,Montenegro                                                  ,114,98.17,115,115,104,70
112,112,Morocco                                                     ,135,125.0,115,115,135,135
113,113,Mozambique                                                  ,54,61.17,56,78,71,42
114,114,Myanmar                                                     ,48,53.83,20,43,59,79
115,115,Namibia                                                     ,85,79.17,88,40,115,96
116,116,Nepal                                                       ,20,29.67,8,10,56,47
117,117,Netherlands                                                 ,62,67.17,81,99,24,50
118,118,New Zealand                                                 ,46,53.17,88,68,37,29
119,119,Nicaragua                                                   ,52,60.17,64,42,83,65
120,120,Niger                                                       ,27,39.67,31,26,77,39
121,121,Nigeria                                                     ,18,28.83,7,31,16,44
122,122,North Macedonia                                             ,135,125.0,115,115,135,135
123,123,Norway                                                      ,94,84.0,102,104,48,73
124,124,Oman                                                        ,13,24.33,71,30,9,3
125,125,Pakistan                                                    ,100,87.83,19,90,90,119
126,126,Panama                                                      ,92,83.33,75,37,117,117
127,127,Papua New Guinea                                            ,135,125.0,115,115,135,135
128,128,Paraguay                                                    ,127,109.33,102,107,114,113
129,129,Peru                                                        ,110,94.0,64,97,86,110
130,130,Philippines                                                 ,2,11.17,4,14,7,14
131,131,Poland                                                      ,41,49.0,42,60,22,55
132,132,Portugal                                                    ,72,70.67,88,92,40,56
133,133,Puerto Rico                                                 ,124,107.67,115,115,99,101
134,134,Qatar                                                       ,135,125.0,115,115,135,135
135,135,Congo                                                       ,135,125.0,115,115,135,135
136,136,Republic of Yemen                                           ,28,41.33,35,38,57,40
137,137,Romania                                                     ,89,81.67,58,67,80,109
138,138,Russian Federation                                          ,79,75.5,44,103,31,86
139,139,Rwanda                                                      ,8,21.17,16,9,51,21
140,140,Samoa                                                       ,70,70.5,115,115,74,2
141,141,Saudi Arabia                                                ,103,88.5,37,48,130,134
142,142,Senegal                                                     ,120,104.5,115,115,100,91
143,143,Serbia                                                      ,61,65.5,93,93,44,35
144,144,Seychelles                                                  ,135,125.0,115,115,135,135
145,145,Sierra Leone                                                ,135,125.0,115,115,135,135
146,146,Singapore                                                   ,135,125.0,115,115,135,135
147,147,Slovakia                                                    ,102,88.33,64,36,132,131
148,148,Slovenia                                                    ,51,57.83,93,52,58,46
149,149,Solomon Islands                                             ,29,43.17,88,12,103,22
150,150,South Africa                                                ,47,53.33,53,95,15,31
151,151,South Sudan                                                 ,133,116.0,115,115,123,114
152,152,Spain                                                       ,38,47.67,33,53,19,64
153,153,Sri Lanka                                                   ,6,19.0,36,29,10,5
154,154,St.Kitts and Nevis                                          ,135,125.0,115,115,135,135
155,155,St.Lucia                                                    ,135,125.0,115,115,135,135
156,156,St.Vincent and the Grenadines                               ,135,125.0,115,115,135,135
157,157,Sudan                                                       ,42,49.33,30,45,52,62
158,158,Suriname                                                    ,135,125.0,115,115,135,135
159,159,Sweden                                                      ,105,89.0,102,111,50,80
160,160,Switzerland                                                 ,77,73.67,93,98,35,59
161,161,Tajikistan                                                  ,73,71.17,75,64,88,68
162,162,Tanzania                                                    ,68,69.83,42,71,73,81
163,163,Thailand                                                    ,67,68.83,25,59,60,105
164,164,The Bahamas                                                 ,135,125.0,115,115,135,135
165,165,Gambia                                                      ,135,125.0,115,115,135,135
166,166,Togo                                                        ,135,125.0,115,115,135,135
167,167,Tonga                                                       ,15,25.17,102,3,41,1
168,168,Trinidad and Tobago                                         ,88,81.33,115,115,67,38
169,169,Tunisia                                                     ,35,46.83,56,47,45,43
170,170,Turkey                                                      ,85,79.17,40,83,53,108
171,171,Tuvalu                                                      ,135,125.0,115,115,135,135
172,172,Uganda                                                      ,14,24.67,23,35,29,13
173,173,Ukraine                                                     ,121,105.33,93,114,89,111
174,174,United Arab Emirates                                        ,135,125.0,115,115,135,135
175,175,United Kingdom                                              ,78,73.83,64,110,17,71
176,176,United States of America                                    ,12,23.83,6,50,1,18
177,177,Uruguay                                                     ,23,35.67,81,46,27,7
178,178,Uzbekistan                                                  ,135,125.0,115,115,135,135
179,179,Vanuatu                                                     ,31,44.67,102,15,106,15
180,180,Venezuela                                                   ,119,104.17,81,108,98,115
181,181,Viet Nam                                                    ,16,26.17,9,33,18,32
182,182,Zambia                                                      ,135,125.0,115,115,135,135
183,183,Zimbabwe                                                    ,132,114.5,93,109,126,125
