ID,CRI Rank,Country,CRI score,Fatalities in 2018 (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank)
140,70,Samoa,70.5,115,115,74,2
141,103,Saudi-Arabia,88.5,37,48,130,134
142,120,Senegal,104.5,115,115,100,91
143,61,Serbia,65.5,93,93,44,35
144,135,Seychelles,125.0,115,115,135,135
145,135,Sierra-Leone,125.0,115,115,135,135
146,135,Singapore,125.0,115,115,135,135
147,102,Slovak-Republic,88.33,64,36,132,131
148,51,Slovenia,57.83,93,52,58,46
149,29,Solomon-Islands,43.17,88,12,103,22
150,47,South-Africa,53.33,53,95,15,31
151,133,South-Sudan,116.0,115,115,123,114
152,38,Spain,47.67,33,53,19,64
153,6,Sri-Lanka,19.0,36,29,10,5
154,135,St.Kitts-and-Nevis,125.0,115,115,135,135
155,135,St.Lucia,125.0,115,115,135,135
156,135,St.Vincent-and-the-Grenadines,125.0,115,115,135,135
157,42,Sudan,49.33,30,45,52,62
158,135,Suriname,125.0,115,115,135,135
159,105,Sweden,89.0,102,111,50,80
160,77,Switzerland,73.67,93,98,35,59
161,73,Tajikistan,71.17,75,64,88,68
162,68,Tanzania,69.83,42,71,73,81
163,67,Thailand,68.83,25,59,60,105
164,135,The-Bahamas,125.0,115,115,135,135
165,135,The-Gambia,125.0,115,115,135,135
166,135,Togo,125.0,115,115,135,135
167,15,Tonga,25.17,102,3,41,1
168,88,Trinidad-and-Tobago,81.33,115,115,67,38
169,35,Tunisia,46.83,56,47,45,43
170,85,Turkey,79.17,40,83,53,108
171,135,Tuvalu,125.0,115,115,135,135
172,14,Uganda,24.67,23,35,29,13
173,121,Ukraine,105.33,93,114,89,111
174,135,United-Arab-Emirates,125.0,115,115,135,135
175,78,United-Kingdom,73.83,64,110,17,71
176,12,United-States,23.83,6,50,1,18
177,23,Uruguay,35.67,81,46,27,7
178,135,Uzbekistan,125.0,115,115,135,135
179,31,Vanuatu,44.67,102,15,106,15
180,119,Venezuela,104.17,81,108,98,115
181,16,Vietnam,26.17,9,33,18,32
182,135,Zambia,125.0,115,115,135,135
183,132,Zimbabwe,114.5,93,109,126,125
